"id","item_id","title","category","subcategory","price","city","url"
74,"","Филе Судака уп. 1 кг","ryba","zamorozhennaya-ryba","3 500 Т","","/ryba/file-iz-ryby/file-sudaka-up-1-kg/"
75,"","Морской Окунь размер 500-600 гр","ryba","zamorozhennaya-ryba","3 000 Т","","/ryba/zamorozhennaya-ryba/morskoy-okun-razmer-500-600-gr/"
76,"","Палтус вес 2-3 кг","ryba","zamorozhennaya-ryba","5 500 Т","","/ryba/zamorozhennaya-ryba/paltus-ves-3-kg/"
77,"","Скумбрия (макрель атлантическая) 400-600","ryba","zamorozhennaya-ryba","2 200 Т","","/ryba/zamorozhennaya-ryba/skumbriya-makrel-atlanticheskaya-400-600/"
78,"","Тунец  Yellowfin филе уп. 350-550 гр.","ryba","zamorozhennaya-ryba","10 100 Т","","/ryba/zamorozhennaya-ryba/tunec-yellowfin-file-up-300-500-gr/"
79,"","Форель Радужная Замороженая","ryba","zamorozhennaya-ryba","3 200 Т","","/ryba/zamorozhennaya-ryba/forel-raduzhnaya-zamorozhenaya/"
80,"","Треска Атлантическая  размер 3 кг+","ryba","zamorozhennaya-ryba","3 500 Т","","/ryba/zamorozhennaya-ryba/treska-atlanticheskaya-razmer-3-kg/"
81,"","Дорадо замороженная, весом 300-400 гр./шт","ryba","zamorozhennaya-ryba","4 200 Т","","/ryba/zamorozhennaya-ryba/dorado-zamorozhennaya-vesom-300-400-grsht/"
82,"","Сибас замороженный 300-400 гр.","ryba","zamorozhennaya-ryba","4 200 Т","","/ryba/zamorozhennaya-ryba/sibas-zamorozhenniy-300-400-gr/"
83,"","Филе минтая замороженное, уп. 600 гр","ryba","zamorozhennaya-ryba","1 490 Т","","/ryba/file-iz-ryby/file-mintaya/"
84,"","Угорь Копченый Унаги, филе для суши","ryba","zamorozhennaya-ryba","10 000 Т","","/ryba/zamorozhennaya-ryba/ugor-kopcheniy-unagi-dlya-sushi/"
85,"","Мойва атлантическая","ryba","zamorozhennaya-ryba","3 100 Т","","/ryba/zamorozhennaya-ryba/moyva-atlanticheskaya/"
86,"","Семга (Лосось) Замороженная размер 6-7 кг","ryba","zamorozhennaya-ryba","4 490 Т","","/ryba/zamorozhennaya-ryba/semga-zamorozhennaya-razmer-6-7-kg/"
87,"","Стейк Подкова из Форели","ryba","zamorozhennaya-ryba","7 490 Т","","/ryba/file-iz-ryby/steyk-podkova-iz-foreli/"
88,"","Черная Треска, вылов Канада","ryba","zamorozhennaya-ryba","22 000 Т","","/ryba/zamorozhennaya-ryba/chernaya-treska-vylov-kanada/"
89,"","Стейки из Осетра, уп. 800 грамм ","ryba","zamorozhennaya-ryba","9 800 Т","","/ryba/zamorozhennaya-ryba/steyki-iz-osetra/"
90,"","Хек Тушка Свежемороженная","ryba","zamorozhennaya-ryba","1 800 Т","","/ryba/zamorozhennaya-ryba/hek-tushka-svezhemorozhennaya/"
91,"","Филе Окуня морского, 220 гр","ryba","zamorozhennaya-ryba","3 000 Т","","/ryba/file-iz-ryby/file-okunya-morskogo/"
92,"","Сибас Замороженный 1+ крупный","ryba","zamorozhennaya-ryba","7 500 Т","","/ryba/zamorozhennaya-ryba/sibas-zamorozhenniy-1-krupniy/"
93,"","Стейк из Семги нарезка Подкова","ryba","file-iz-ryby","6 990 Т","","/ryba/zamorozhennaya-ryba/steyk-iz-semgi-narezka-podkova/"
94,"","Лосось Малосольный филе на шкуре","ryba","file-iz-ryby","9 500 Т","","/ryba/ryba-kopchenaya/losos-malosolniy-file-na-shkure/"
95,"","Филе Судака уп. 1 кг","ryba","file-iz-ryby","3 500 Т","","/ryba/file-iz-ryby/file-sudaka-up-1-kg/"
96,"","Филе из Охлажденной Семги (Лосося)","ryba","file-iz-ryby","14 500 Т","","/ryba/file-iz-ryby/file-iz-ohlazhdennoy-semgi-2-2-2-5-kg/"
